survtype,datasource,countryname,yearweek,pathogen,variant,indicator,age,value
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,BA.2.86,detections,total,34
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,UNK,detections,total,25
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,XBB,detections,total,4
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,XBB.1.5-like,detections,total,8
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,74
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,BA.2.86,proportion,total,28.3
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,XBB,proportion,total,3.3
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,XBB.1.5-like,proportion,total,6.7
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,61.7
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,BA.2.86,detections,total,49
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,UNK,detections,total,83
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,XBB,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,XBB.1.5-like,detections,total,15
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,169
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,BA.2.86,proportion,total,20.6
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,XBB,proportion,total,2.1
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,XBB.1.5-like,proportion,total,6.3
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,71
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,BA.2.86,detections,total,31
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,Other,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,UNK,detections,total,48
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,XBB,detections,total,16
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,XBB.1.5-like,detections,total,13
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,137
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,BA.2.86,proportion,total,15.6
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,Other,proportion,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,XBB,proportion,total,8
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,XBB.1.5-like,proportion,total,6.5
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,68.8
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,BA.2.75,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,BA.2.86,detections,total,14
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,UNK,detections,total,23
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,XBB,detections,total,11
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,XBB.1.5-like,detections,total,11
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,115
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,BA.2.75,proportion,total,0.7
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,BA.2.86,proportion,total,9.2
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,Other,proportion,total,0.7
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,XBB,proportion,total,7.2
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,XBB.1.5-like,proportion,total,7.2
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,75.2
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,BA.2.75,detections,total,4
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,BA.2.86,detections,total,13
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,UNK,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,XBB,detections,total,14
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,XBB.1.5-like,detections,total,15
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,110
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,BA.2.75,proportion,total,2.5
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,BA.2.86,proportion,total,8.3
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,Other,proportion,total,0.6
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,XBB,proportion,total,8.9
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,XBB.1.5-like,proportion,total,9.6
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,70.1
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,BA.2.86,detections,total,15
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,XBB,detections,total,6
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,XBB.1.5-like,detections,total,25
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,109
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,BA.2.86,proportion,total,9.6
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,Other,proportion,total,0.6
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,XBB,proportion,total,3.8
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,XBB.1.5-like,proportion,total,16
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,69.9
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,BA.2.75,detections,total,4
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,BA.2.86,detections,total,6
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,Other,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,XBB,detections,total,16
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,XBB.1.5-like,detections,total,16
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,97
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,BA.2.75,proportion,total,2.8
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,BA.2.86,proportion,total,4.3
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,Other,proportion,total,1.4
