survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2024-W14,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W14,ILIconsultationrate,15-64,1802.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,5-14,1944.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,65+,856.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,total,1512.6
primary care syndromic,Austria,2024-W13,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W13,ILIconsultationrate,15-64,2090.6
primary care syndromic,Austria,2024-W13,ILIconsultationrate,5-14,1701.8
primary care syndromic,Austria,2024-W13,ILIconsultationrate,65+,1175.7
primary care syndromic,Austria,2024-W13,ILIconsultationrate,total,1629.1
primary care syndromic,Austria,2024-W12,ILIconsultationrate,0-4,1438.1
primary care syndromic,Austria,2024-W12,ILIconsultationrate,15-64,2537.7
primary care syndromic,Austria,2024-W12,ILIconsultationrate,5-14,2863.3
primary care syndromic,Austria,2024-W12,ILIconsultationrate,65+,696.2
primary care syndromic,Austria,2024-W12,ILIconsultationrate,total,2179.8
primary care syndromic,Austria,2024-W11,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W11,ILIconsultationrate,15-64,2207.6
primary care syndromic,Austria,2024-W11,ILIconsultationrate,5-14,2248.8
primary care syndromic,Austria,2024-W11,ILIconsultationrate,65+,905.1
primary care syndromic,Austria,2024-W11,ILIconsultationrate,total,1798
primary care syndromic,Austria,2024-W10,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W10,ILIconsultationrate,15-64,2051.8
primary care syndromic,Austria,2024-W10,ILIconsultationrate,5-14,2694.5
primary care syndromic,Austria,2024-W10,ILIconsultationrate,65+,873.7
primary care syndromic,Austria,2024-W10,ILIconsultationrate,total,1790
primary care syndromic,Austria,2024-W09,ILIconsultationrate,0-4,1714.6
primary care syndromic,Austria,2024-W09,ILIconsultationrate,15-64,2640.8
primary care syndromic,Austria,2024-W09,ILIconsultationrate,5-14,3349.5
primary care syndromic,Austria,2024-W09,ILIconsultationrate,65+,668.3
primary care syndromic,Austria,2024-W09,ILIconsultationrate,total,2338
primary care syndromic,Austria,2024-W08,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W08,ILIconsultationrate,15-64,2342.2
primary care syndromic,Austria,2024-W08,ILIconsultationrate,5-14,2539.2
primary care syndromic,Austria,2024-W08,ILIconsultationrate,65+,954.9
primary care syndromic,Austria,2024-W08,ILIconsultationrate,total,1945.2
primary care syndromic,Austria,2024-W07,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W07,ILIconsultationrate,15-64,3511.1
primary care syndromic,Austria,2024-W07,ILIconsultationrate,5-14,2957.9
primary care syndromic,Austria,2024-W07,ILIconsultationrate,65+,1282.9
primary care syndromic,Austria,2024-W07,ILIconsultationrate,total,2634.8
primary care syndromic,Austria,2024-W06,ILIconsultationrate,0-4,4945.2
primary care syndromic,Austria,2024-W06,ILIconsultationrate,15-64,4614.5
primary care syndromic,Austria,2024-W06,ILIconsultationrate,5-14,1685.6
primary care syndromic,Austria,2024-W06,ILIconsultationrate,65+,1949.4
primary care syndromic,Austria,2024-W06,ILIconsultationrate,total,3595.8
primary care syndromic,Austria,2024-W05,ILIconsultationrate,0-4,2738.6
primary care syndromic,Austria,2024-W05,ILIconsultationrate,15-64,3334.1
primary care syndromic,Austria,2024-W05,ILIconsultationrate,5-14,4477.3
primary care syndromic,Austria,2024-W05,ILIconsultationrate,65+,1559.6
primary care syndromic,Austria,2024-W05,ILIconsultationrate,total,3161
primary care syndromic,Austria,2024-W04,ILIconsultationrate,0-4,1286.3
primary care syndromic,Austria,2024-W04,ILIconsultationrate,15-64,3472.1
primary care syndromic,Austria,2024-W04,ILIconsultationrate,5-14,4619.1
primary care syndromic,Austria,2024-W04,ILIconsultationrate,65+,1670.8
primary care syndromic,Austria,2024-W04,ILIconsultationrate,total,3180.1
primary care syndromic,Austria,2024-W03,ILIconsultationrate,0-4,1825.2
primary care syndromic,Austria,2024-W03,ILIconsultationrate,15-64,2845.2
primary care syndromic,Austria,2024-W03,ILIconsultationrate,5-14,1350.6
primary care syndromic,Austria,2024-W03,ILIconsultationrate,65+,1096.2
primary care syndromic,Austria,2024-W03,ILIconsultationrate,total,2156
primary care syndromic,Austria,2024-W02,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W02,ILIconsultationrate,15-64,3044.2
primary care syndromic,Austria,2024-W02,ILIconsultationrate,5-14,2269
primary care syndromic,Austria,2024-W02,ILIconsultationrate,65+,1217
primary care syndromic,Austria,2024-W02,ILIconsultationrate,total,2343
primary care syndromic,Austria,2024-W01,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W01,ILIconsultationrate,15-64,3356
primary care syndromic,Austria,2024-W01,ILIconsultationrate,5-14,1641
primary care syndromic,Austria,2024-W01,ILIconsultationrate,65+,2258.7
primary care syndromic,Austria,2024-W01,ILIconsultationrate,total,2420.4
primary care syndromic,Austria,2023-W52,ILIconsultationrate,0-4,1825.7
primary care syndromic,Austria,2023-W52,ILIconsultationrate,15-64,2708.7
primary care syndromic,Austria,2023-W52,ILIconsultationrate,5-14,1742.3
primary care syndromic,Austria,2023-W52,ILIconsultationrate,65+,1142.5
primary care syndromic,Austria,2023-W52,ILIconsultationrate,total,2238.3
primary care syndromic,Austria,2023-W51,ILIconsultationrate,0-4,774.3
primary care syndromic,Austria,2023-W51,ILIconsultationrate,15-64,4060.3
primary care syndromic,Austria,2023-W51,ILIconsultationrate,5-14,3052.4
primary care syndromic,Austria,2023-W51,ILIconsultationrate,65+,2190.9
primary care syndromic,Austria,2023-W51,ILIconsultationrate,total,3209.8
primary care syndromic,Austria,2023-W50,ILIconsultationrate,0-4,2157.7
primary care syndromic,Austria,2023-W50,ILIconsultationrate,15-64,4488.3
primary care syndromic,Austria,2023-W50,ILIconsultationrate,5-14,1600.5
primary care syndromic,Austria,2023-W50,ILIconsultationrate,65+,1133.5
primary care syndromic,Austria,2023-W50,ILIconsultationrate,total,3242.5
primary care syndromic,Austria,2023-W49,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W49,ILIconsultationrate,15-64,4225.4
primary care syndromic,Austria,2023-W49,ILIconsultationrate,5-14,1661.3
primary care syndromic,Austria,2023-W49,ILIconsultationrate,65+,1262.4
primary care syndromic,Austria,2023-W49,ILIconsultationrate,total,2834
primary care syndromic,Austria,2023-W48,ILIconsultationrate,0-4,995.6
primary care syndromic,Austria,2023-W48,ILIconsultationrate,15-64,3178.7
primary care syndromic,Austria,2023-W48,ILIconsultationrate,5-14,1134.5
primary care syndromic,Austria,2023-W48,ILIconsultationrate,65+,1237.6
primary care syndromic,Austria,2023-W48,ILIconsultationrate,total,2395.5
primary care syndromic,Austria,2023-W47,ILIconsultationrate,0-4,1161.6
primary care syndromic,Austria,2023-W47,ILIconsultationrate,15-64,4575.5
primary care syndromic,Austria,2023-W47,ILIconsultationrate,5-14,923.8
primary care syndromic,Austria,2023-W47,ILIconsultationrate,65+,1763.6
primary care syndromic,Austria,2023-W47,ILIconsultationrate,total,2778.6
primary care syndromic,Austria,2023-W46,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W46,ILIconsultationrate,15-64,3270.4
primary care syndromic,Austria,2023-W46,ILIconsultationrate,5-14,1264.2
primary care syndromic,Austria,2023-W46,ILIconsultationrate,65+,1052
primary care syndromic,Austria,2023-W46,ILIconsultationrate,total,2184.9
primary care syndromic,Austria,2023-W45,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W45,ILIconsultationrate,15-64,3197.9
primary care syndromic,Austria,2023-W45,ILIconsultationrate,5-14,1337.1
primary care syndromic,Austria,2023-W45,ILIconsultationrate,65+,1346
primary care syndromic,Austria,2023-W45,ILIconsultationrate,total,2248.4
primary care syndromic,Austria,2023-W44,ILIconsultationrate,0-4,2710.2
primary care syndromic,Austria,2023-W44,ILIconsultationrate,15-64,2837.4
primary care syndromic,Austria,2023-W44,ILIconsultationrate,5-14,0
primary care syndromic,Austria,2023-W44,ILIconsultationrate,65+,1326.3
primary care syndromic,Austria,2023-W44,ILIconsultationrate,total,2090.6
primary care syndromic,Austria,2023-W43,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W43,ILIconsultationrate,15-64,3123.4
primary care syndromic,Austria,2023-W43,ILIconsultationrate,5-14,1345.2
primary care syndromic,Austria,2023-W43,ILIconsultationrate,65+,1742.4
primary care syndromic,Austria,2023-W43,ILIconsultationrate,total,2094
primary care syndromic,Austria,2023-W42,ILIconsultationrate,0-4,1161.6
primary care syndromic,Austria,2023-W42,ILIconsultationrate,15-64,3112.5
primary care syndromic,Austria,2023-W42,ILIconsultationrate,5-14,1118.3
primary care syndromic,Austria,2023-W42,ILIconsultationrate,65+,1140.6
primary care syndromic,Austria,2023-W42,ILIconsultationrate,total,2114.8
primary care syndromic,Austria,2023-W41,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W41,ILIconsultationrate,15-64,2593.7
primary care syndromic,Austria,2023-W41,ILIconsultationrate,5-14,1418.2
primary care syndromic,Austria,2023-W41,ILIconsultationrate,65+,848.8
primary care syndromic,Austria,2023-W41,ILIconsultationrate,total,1968.7
primary care syndromic,Austria,2023-W40,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W40,ILIconsultationrate,15-64,2294.9
primary care syndromic,Austria,2023-W40,ILIconsultationrate,5-14,0
primary care syndromic,Austria,2023-W40,ILIconsultationrate,65+,106.1
primary care syndromic,Austria,2023-W40,ILIconsultationrate,total,1467.7
primary care syndromic,Austria,2023-W13,ILIconsultationrate,0-4,2762.4
primary care syndromic,Austria,2023-W13,ILIconsultationrate,15-64,2986.3
primary care syndromic,Austria,2023-W13,ILIconsultationrate,5-14,1267.3
primary care syndromic,Austria,2023-W13,ILIconsultationrate,65+,434.5
primary care syndromic,Austria,2023-W13,ILIconsultationrate,total,2285.2
primary care syndromic,Austria,2023-W12,ILIconsultationrate,0-4,8052.6
primary care syndromic,Austria,2023-W12,ILIconsultationrate,15-64,3116
primary care syndromic,Austria,2023-W12,ILIconsultationrate,5-14,4382.3
primary care syndromic,Austria,2023-W12,ILIconsultationrate,65+,546.6
primary care syndromic,Austria,2023-W12,ILIconsultationrate,total,3255
primary care syndromic,Austria,2023-W11,ILIconsultationrate,0-4,5485.4
primary care syndromic,Austria,2023-W11,ILIconsultationrate,15-64,3332.6
primary care syndromic,Austria,2023-W11,ILIconsultationrate,5-14,2475.2
primary care syndromic,Austria,2023-W11,ILIconsultationrate,65+,380.2
primary care syndromic,Austria,2023-W11,ILIconsultationrate,total,2899.8
primary care syndromic,Austria,2023-W10,ILIconsultationrate,0-4,5564.3
primary care syndromic,Austria,2023-W10,ILIconsultationrate,15-64,3590.2
primary care syndromic,Austria,2023-W10,ILIconsultationrate,5-14,3009.9
primary care syndromic,Austria,2023-W10,ILIconsultationrate,65+,581.5
primary care syndromic,Austria,2023-W10,ILIconsultationrate,total,3172.8
primary care syndromic,Austria,2023-W09,ILIconsultationrate,0-4,10576.2
primary care syndromic,Austria,2023-W09,ILIconsultationrate,15-64,3248.8
primary care syndromic,Austria,2023-W09,ILIconsultationrate,5-14,4752.5
primary care syndromic,Austria,2023-W09,ILIconsultationrate,65+,404
primary care syndromic,Austria,2023-W09,ILIconsultationrate,total,3298.5
primary care syndromic,Austria,2023-W08,ILIconsultationrate,0-4,7024.5
primary care syndromic,Austria,2023-W08,ILIconsultationrate,15-64,3144
primary care syndromic,Austria,2023-W08,ILIconsultationrate,5-14,4237.6
primary care syndromic,Austria,2023-W08,ILIconsultationrate,65+,1259.5
primary care syndromic,Austria,2023-W08,ILIconsultationrate,total,3132.7
primary care syndromic,Austria,2023-W07,ILIconsultationrate,0-4,4459.4
primary care syndromic,Austria,2023-W07,ILIconsultationrate,15-64,2932.7
primary care syndromic,Austria,2023-W07,ILIconsultationrate,5-14,1742.6
primary care syndromic,Austria,2023-W07,ILIconsultationrate,65+,581.5
primary care syndromic,Austria,2023-W07,ILIconsultationrate,total,2468.5
primary care syndromic,Austria,2023-W06,ILIconsultationrate,0-4,4735.6
primary care syndromic,Austria,2023-W06,ILIconsultationrate,15-64,2176.9
primary care syndromic,Austria,2023-W06,ILIconsultationrate,5-14,1584.2
primary care syndromic,Austria,2023-W06,ILIconsultationrate,65+,1380.8
primary care syndromic,Austria,2023-W06,ILIconsultationrate,total,2160.4
primary care syndromic,Austria,2023-W05,ILIconsultationrate,0-4,4222.6
primary care syndromic,Austria,2023-W05,ILIconsultationrate,15-64,2294.8
primary care syndromic,Austria,2023-W05,ILIconsultationrate,5-14,1722.8
primary care syndromic,Austria,2023-W05,ILIconsultationrate,65+,492.1
primary care syndromic,Austria,2023-W05,ILIconsultationrate,total,2072.4
primary care syndromic,Austria,2023-W04,ILIconsultationrate,0-4,4341
primary care syndromic,Austria,2023-W04,ILIconsultationrate,15-64,2188.6
primary care syndromic,Austria,2023-W04,ILIconsultationrate,5-14,2237.6
primary care syndromic,Austria,2023-W04,ILIconsultationrate,65+,760.5
primary care syndromic,Austria,2023-W04,ILIconsultationrate,total,2140.1
primary care syndromic,Austria,2023-W03,ILIconsultationrate,0-4,4183.1
primary care syndromic,Austria,2023-W03,ILIconsultationrate,15-64,2482.8
primary care syndromic,Austria,2023-W03,ILIconsultationrate,5-14,1960.4
primary care syndromic,Austria,2023-W03,ILIconsultationrate,65+,1721
primary care syndromic,Austria,2023-W03,ILIconsultationrate,total,2410.6
primary care syndromic,Austria,2023-W02,ILIconsultationrate,0-4,4301.5
primary care syndromic,Austria,2023-W02,ILIconsultationrate,15-64,3554.7
primary care syndromic,Austria,2023-W02,ILIconsultationrate,5-14,1782.2
primary care syndromic,Austria,2023-W02,ILIconsultationrate,65+,912.5
primary care syndromic,Austria,2023-W02,ILIconsultationrate,total,2853.9
primary care syndromic,Austria,2023-W01,ILIconsultationrate,0-4,3314.9
primary care syndromic,Austria,2023-W01,ILIconsultationrate,15-64,3848.6
primary care syndromic,Austria,2023-W01,ILIconsultationrate,5-14,1782.2
primary care syndromic,Austria,2023-W01,ILIconsultationrate,65+,1846.8
primary care syndromic,Austria,2023-W01,ILIconsultationrate,total,3043.3
primary care syndromic,Austria,2022-W52,ILIconsultationrate,0-4,7063.9
primary care syndromic,Austria,2022-W52,ILIconsultationrate,15-64,5179.3
primary care syndromic,Austria,2022-W52,ILIconsultationrate,5-14,3108.9
primary care syndromic,Austria,2022-W52,ILIconsultationrate,65+,1616
primary care syndromic,Austria,2022-W52,ILIconsultationrate,total,4391.2
primary care syndromic,Austria,2022-W51,ILIconsultationrate,0-4,3157.9
primary care syndromic,Austria,2022-W51,ILIconsultationrate,15-64,7243.5
primary care syndromic,Austria,2022-W51,ILIconsultationrate,5-14,3220.7
primary care syndromic,Austria,2022-W51,ILIconsultationrate,65+,1850.4
primary care syndromic,Austria,2022-W51,ILIconsultationrate,total,5322.7
primary care syndromic,Austria,2022-W50,ILIconsultationrate,0-4,7609.7
primary care syndromic,Austria,2022-W50,ILIconsultationrate,15-64,7148.3
primary care syndromic,Austria,2022-W50,ILIconsultationrate,5-14,4688.7
primary care syndromic,Austria,2022-W50,ILIconsultationrate,65+,1781.1
primary care syndromic,Austria,2022-W50,ILIconsultationrate,total,5849.3
primary care syndromic,Austria,2022-W49,ILIconsultationrate,0-4,6157.2
primary care syndromic,Austria,2022-W49,ILIconsultationrate,15-64,4750.8
