survtype,datasource,countryname,yearweek,pathogen,variant,indicator,age,value
SARS-CoV-2 variant,GISAID,Austria,2025-W22,SARS-CoV-2,BA.2.86,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W22,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W22,SARS-CoV-2,BA.2.86,proportion,total,50
SARS-CoV-2 variant,GISAID,Austria,2025-W22,SARS-CoV-2,Other,proportion,total,50
SARS-CoV-2 variant,GISAID,Austria,2025-W21,SARS-CoV-2,BA.2.86,detections,total,4
SARS-CoV-2 variant,GISAID,Austria,2025-W21,SARS-CoV-2,BA.2.86,proportion,total,100
SARS-CoV-2 variant,GISAID,Austria,2025-W18,SARS-CoV-2,BA.2.86,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W18,SARS-CoV-2,BA.2.86,proportion,total,100
SARS-CoV-2 variant,GISAID,Austria,2025-W05,SARS-CoV-2,BA.2.86,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W05,SARS-CoV-2,BA.2.86,proportion,total,100
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,BA.2.86,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,Other,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,XEC,detections,total,4
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,BA.2.86,proportion,total,25
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,Other,proportion,total,25
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,XEC,proportion,total,50
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,BA.2.86,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,XEC,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,BA.2.86,proportion,total,33.3
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,Other,proportion,total,33.3
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,XEC,proportion,total,33.3
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,BA.2.86,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,Other,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,XEC,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,BA.2.86,proportion,total,41.7
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,Other,proportion,total,16.7
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,XEC,proportion,total,41.7
SARS-CoV-2 variant,GISAID,Austria,2025-W01,SARS-CoV-2,BA.2.86,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2025-W01,SARS-CoV-2,XEC,detections,total,6
SARS-CoV-2 variant,GISAID,Austria,2025-W01,SARS-CoV-2,BA.2.86,proportion,total,14.3
SARS-CoV-2 variant,GISAID,Austria,2025-W01,SARS-CoV-2,XEC,proportion,total,85.7
SARS-CoV-2 variant,GISAID,Austria,2024-W52,SARS-CoV-2,BA.2.86,detections,total,4
SARS-CoV-2 variant,GISAID,Austria,2024-W52,SARS-CoV-2,XEC,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2024-W52,SARS-CoV-2,BA.2.86,proportion,total,44.4
SARS-CoV-2 variant,GISAID,Austria,2024-W52,SARS-CoV-2,XEC,proportion,total,55.6
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,BA.2.86,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,Other,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,XEC,detections,total,11
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,BA.2.86,proportion,total,5.9
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,Other,proportion,total,29.4
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,XEC,proportion,total,64.7
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,BA.2.86,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,Other,detections,total,3
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,XEC,detections,total,5
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,BA.2.86,proportion,total,38.5
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,Other,proportion,total,23.1
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,XEC,proportion,total,38.5
SARS-CoV-2 variant,GISAID,Austria,2024-W49,SARS-CoV-2,BA.2.86,detections,total,7
SARS-CoV-2 variant,GISAID,Austria,2024-W49,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2024-W49,SARS-CoV-2,XEC,detections,total,15
