survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
SARI virological,Belgium,2025-W38,Influenza,Influenza,total,detections,total,1
SARI virological,Belgium,2025-W38,Influenza,Influenza,total,positivity,total,1.8
SARI virological,Belgium,2025-W38,Influenza,Influenza,total,tests,total,57
SARI virological,Belgium,2025-W38,Influenza,Influenza A,A (unknown),detections,total,1
SARI virological,Belgium,2025-W38,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W38,RSV,RSV,RSV,positivity,total,0
SARI virological,Belgium,2025-W38,RSV,RSV,RSV,tests,total,48
SARI virological,Belgium,2025-W38,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,15
SARI virological,Belgium,2025-W38,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,26.3
SARI virological,Belgium,2025-W38,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,57
SARI virological,Belgium,2025-W37,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W37,Influenza,Influenza,total,positivity,total,0
SARI virological,Belgium,2025-W37,Influenza,Influenza,total,tests,total,54
SARI virological,Belgium,2025-W37,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W37,RSV,RSV,RSV,positivity,total,0
SARI virological,Belgium,2025-W37,RSV,RSV,RSV,tests,total,52
SARI virological,Belgium,2025-W37,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,14
SARI virological,Belgium,2025-W37,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,25.9
SARI virological,Belgium,2025-W37,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,54
SARI virological,Belgium,2025-W36,Influenza,Influenza,total,detections,total,1
SARI virological,Belgium,2025-W36,Influenza,Influenza,total,positivity,total,2.2
SARI virological,Belgium,2025-W36,Influenza,Influenza,total,tests,total,45
SARI virological,Belgium,2025-W36,Influenza,Influenza A,A(H1)pdm09,detections,total,1
SARI virological,Belgium,2025-W36,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W36,RSV,RSV,RSV,positivity,total,0
SARI virological,Belgium,2025-W36,RSV,RSV,RSV,tests,total,45
SARI virological,Belgium,2025-W36,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,12
SARI virological,Belgium,2025-W36,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,26.7
SARI virological,Belgium,2025-W36,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,45
SARI virological,Belgium,2025-W35,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W35,Influenza,Influenza,total,positivity,total,0
