survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2025-W14,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W14,ILIconsultationrate,15-64,2073.3
primary care syndromic,Austria,2025-W14,ILIconsultationrate,5-14,1596.8
primary care syndromic,Austria,2025-W14,ILIconsultationrate,65+,1449.3
primary care syndromic,Austria,2025-W14,ILIconsultationrate,total,1724.4
primary care syndromic,Austria,2025-W13,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W13,ILIconsultationrate,15-64,2241.5
primary care syndromic,Austria,2025-W13,ILIconsultationrate,5-14,1716.6
primary care syndromic,Austria,2025-W13,ILIconsultationrate,65+,1655.4
primary care syndromic,Austria,2025-W13,ILIconsultationrate,total,1894.2
primary care syndromic,Austria,2025-W12,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W12,ILIconsultationrate,15-64,2292.4
primary care syndromic,Austria,2025-W12,ILIconsultationrate,5-14,2594.8
primary care syndromic,Austria,2025-W12,ILIconsultationrate,65+,1790.5
primary care syndromic,Austria,2025-W12,ILIconsultationrate,total,2082.4
primary care syndromic,Austria,2025-W11,ILIconsultationrate,0-4,2295.6
primary care syndromic,Austria,2025-W11,ILIconsultationrate,15-64,2233.4
primary care syndromic,Austria,2025-W11,ILIconsultationrate,5-14,532.2
primary care syndromic,Austria,2025-W11,ILIconsultationrate,65+,849.5
primary care syndromic,Austria,2025-W11,ILIconsultationrate,total,1706.2
primary care syndromic,Austria,2025-W10,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W10,ILIconsultationrate,15-64,2729.7
primary care syndromic,Austria,2025-W10,ILIconsultationrate,5-14,1596.6
primary care syndromic,Austria,2025-W10,ILIconsultationrate,65+,1274.2
primary care syndromic,Austria,2025-W10,ILIconsultationrate,total,2059.3
primary care syndromic,Austria,2025-W09,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W09,ILIconsultationrate,15-64,2928.7
primary care syndromic,Austria,2025-W09,ILIconsultationrate,5-14,3153.7
primary care syndromic,Austria,2025-W09,ILIconsultationrate,65+,1660.1
primary care syndromic,Austria,2025-W09,ILIconsultationrate,total,2547.7
primary care syndromic,Austria,2025-W08,ILIconsultationrate,15-64,3392.8
primary care syndromic,Austria,2025-W08,ILIconsultationrate,65+,2094.6
primary care syndromic,Austria,2025-W08,ILIconsultationrate,total,3240.7
primary care syndromic,Austria,2025-W07,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W07,ILIconsultationrate,15-64,3107.5
primary care syndromic,Austria,2025-W07,ILIconsultationrate,5-14,3672.7
primary care syndromic,Austria,2025-W07,ILIconsultationrate,65+,2263.5
primary care syndromic,Austria,2025-W07,ILIconsultationrate,total,2817.1
primary care syndromic,Austria,2025-W06,ILIconsultationrate,0-4,1623.7
primary care syndromic,Austria,2025-W06,ILIconsultationrate,15-64,2985.9
primary care syndromic,Austria,2025-W06,ILIconsultationrate,5-14,1543.4
primary care syndromic,Austria,2025-W06,ILIconsultationrate,65+,1539.7
primary care syndromic,Austria,2025-W06,ILIconsultationrate,total,2375.8
primary care syndromic,Austria,2025-W05,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W05,ILIconsultationrate,15-64,3379.3
primary care syndromic,Austria,2025-W05,ILIconsultationrate,5-14,3512.5
primary care syndromic,Austria,2025-W05,ILIconsultationrate,65+,1801
primary care syndromic,Austria,2025-W05,ILIconsultationrate,total,2843.7
primary care syndromic,Austria,2025-W04,ILIconsultationrate,0-4,2686.8
primary care syndromic,Austria,2025-W04,ILIconsultationrate,15-64,3851.2
primary care syndromic,Austria,2025-W04,ILIconsultationrate,5-14,2554.9
primary care syndromic,Austria,2025-W04,ILIconsultationrate,65+,2736.5
primary care syndromic,Austria,2025-W04,ILIconsultationrate,total,3369.6
primary care syndromic,Austria,2025-W03,ILIconsultationrate,0-4,2407.6
primary care syndromic,Austria,2025-W03,ILIconsultationrate,15-64,3290.1
primary care syndromic,Austria,2025-W03,ILIconsultationrate,5-14,958
primary care syndromic,Austria,2025-W03,ILIconsultationrate,65+,1194.6
primary care syndromic,Austria,2025-W03,ILIconsultationrate,total,2453.8
primary care syndromic,Austria,2025-W02,ILIconsultationrate,0-4,951.8
primary care syndromic,Austria,2025-W02,ILIconsultationrate,15-64,3259.2
primary care syndromic,Austria,2025-W02,ILIconsultationrate,5-14,1330.5
primary care syndromic,Austria,2025-W02,ILIconsultationrate,65+,2570.5
primary care syndromic,Austria,2025-W02,ILIconsultationrate,total,2561.5
primary care syndromic,Austria,2025-W01,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2025-W01,ILIconsultationrate,15-64,2689.6
primary care syndromic,Austria,2025-W01,ILIconsultationrate,5-14,2075
primary care syndromic,Austria,2025-W01,ILIconsultationrate,65+,1734.1
primary care syndromic,Austria,2025-W01,ILIconsultationrate,total,2308.8
primary care syndromic,Austria,2024-W52,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W52,ILIconsultationrate,15-64,2801.9
primary care syndromic,Austria,2024-W52,ILIconsultationrate,5-14,0
primary care syndromic,Austria,2024-W52,ILIconsultationrate,65+,3159.9
primary care syndromic,Austria,2024-W52,ILIconsultationrate,total,2063.8
primary care syndromic,Austria,2024-W51,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W51,ILIconsultationrate,15-64,4055
primary care syndromic,Austria,2024-W51,ILIconsultationrate,5-14,4628.9
primary care syndromic,Austria,2024-W51,ILIconsultationrate,65+,1520.3
primary care syndromic,Austria,2024-W51,ILIconsultationrate,total,3426.1
primary care syndromic,Austria,2024-W50,ILIconsultationrate,0-4,280
primary care syndromic,Austria,2024-W50,ILIconsultationrate,15-64,3043.1
primary care syndromic,Austria,2024-W50,ILIconsultationrate,5-14,1330.5
primary care syndromic,Austria,2024-W50,ILIconsultationrate,65+,1458
primary care syndromic,Austria,2024-W50,ILIconsultationrate,total,2223.6
primary care syndromic,Austria,2024-W49,ILIconsultationrate,0-4,839.9
primary care syndromic,Austria,2024-W49,ILIconsultationrate,15-64,2637.9
primary care syndromic,Austria,2024-W49,ILIconsultationrate,5-14,824.9
primary care syndromic,Austria,2024-W49,ILIconsultationrate,65+,1200.7
primary care syndromic,Austria,2024-W49,ILIconsultationrate,total,1908.7
primary care syndromic,Austria,2024-W48,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W48,ILIconsultationrate,15-64,2593.7
primary care syndromic,Austria,2024-W48,ILIconsultationrate,5-14,1756.5
primary care syndromic,Austria,2024-W48,ILIconsultationrate,65+,1114.9
primary care syndromic,Austria,2024-W48,ILIconsultationrate,total,2054.6
primary care syndromic,Austria,2024-W47,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W47,ILIconsultationrate,15-64,3221.9
primary care syndromic,Austria,2024-W47,ILIconsultationrate,5-14,3671.2
primary care syndromic,Austria,2024-W47,ILIconsultationrate,65+,1827.2
primary care syndromic,Austria,2024-W47,ILIconsultationrate,total,2850.8
primary care syndromic,Austria,2024-W46,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W46,ILIconsultationrate,15-64,2756.8
primary care syndromic,Austria,2024-W46,ILIconsultationrate,5-14,984.6
primary care syndromic,Austria,2024-W46,ILIconsultationrate,65+,1139.7
primary care syndromic,Austria,2024-W46,ILIconsultationrate,total,1968.2
primary care syndromic,Austria,2024-W45,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W45,ILIconsultationrate,15-64,2697.7
primary care syndromic,Austria,2024-W45,ILIconsultationrate,5-14,1436.9
primary care syndromic,Austria,2024-W45,ILIconsultationrate,65+,1247.7
primary care syndromic,Austria,2024-W45,ILIconsultationrate,total,2008.9
primary care syndromic,Austria,2024-W44,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W44,ILIconsultationrate,15-64,2017.3
primary care syndromic,Austria,2024-W44,ILIconsultationrate,5-14,1117.8
primary care syndromic,Austria,2024-W44,ILIconsultationrate,65+,1858
primary care syndromic,Austria,2024-W44,ILIconsultationrate,total,1685.2
primary care syndromic,Austria,2024-W43,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W43,ILIconsultationrate,15-64,3035.1
primary care syndromic,Austria,2024-W43,ILIconsultationrate,5-14,1317.4
primary care syndromic,Austria,2024-W43,ILIconsultationrate,65+,1486.5
primary care syndromic,Austria,2024-W43,ILIconsultationrate,total,2302.5
primary care syndromic,Austria,2024-W42,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W42,ILIconsultationrate,15-64,3327
primary care syndromic,Austria,2024-W42,ILIconsultationrate,5-14,1836.3
primary care syndromic,Austria,2024-W42,ILIconsultationrate,65+,1718.9
primary care syndromic,Austria,2024-W42,ILIconsultationrate,total,2670.8
primary care syndromic,Austria,2024-W41,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W41,ILIconsultationrate,15-64,3586.3
primary care syndromic,Austria,2024-W41,ILIconsultationrate,5-14,4150
primary care syndromic,Austria,2024-W41,ILIconsultationrate,65+,2331.1
primary care syndromic,Austria,2024-W41,ILIconsultationrate,total,3234.6
primary care syndromic,Austria,2024-W40,ILIconsultationrate,15-64,4594.4
primary care syndromic,Austria,2024-W40,ILIconsultationrate,65+,2007.4
primary care syndromic,Austria,2024-W40,ILIconsultationrate,total,4098.5
primary care syndromic,Austria,2024-W14,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W14,ILIconsultationrate,15-64,1802.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,5-14,1944.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,65+,856.9
primary care syndromic,Austria,2024-W14,ILIconsultationrate,total,1512.6
primary care syndromic,Austria,2024-W13,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W13,ILIconsultationrate,15-64,2090.6
primary care syndromic,Austria,2024-W13,ILIconsultationrate,5-14,1701.8
primary care syndromic,Austria,2024-W13,ILIconsultationrate,65+,1175.7
primary care syndromic,Austria,2024-W13,ILIconsultationrate,total,1629.1
primary care syndromic,Austria,2024-W12,ILIconsultationrate,0-4,1438.1
primary care syndromic,Austria,2024-W12,ILIconsultationrate,15-64,2537.7
primary care syndromic,Austria,2024-W12,ILIconsultationrate,5-14,2863.3
primary care syndromic,Austria,2024-W12,ILIconsultationrate,65+,696.2
primary care syndromic,Austria,2024-W12,ILIconsultationrate,total,2179.8
primary care syndromic,Austria,2024-W11,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W11,ILIconsultationrate,15-64,2207.6
primary care syndromic,Austria,2024-W11,ILIconsultationrate,5-14,2248.8
primary care syndromic,Austria,2024-W11,ILIconsultationrate,65+,905.1
primary care syndromic,Austria,2024-W11,ILIconsultationrate,total,1798
primary care syndromic,Austria,2024-W10,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2024-W10,ILIconsultationrate,15-64,2051.8
primary care syndromic,Austria,2024-W10,ILIconsultationrate,5-14,2694.5
