survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
non-sentinel,Austria,2024-W50,Influenza,Influenza A,A (unknown),detections,total,18
non-sentinel,Austria,2024-W50,Influenza,Influenza B,B (unknown),detections,total,3
non-sentinel,Austria,2024-W50,RSV,RSV untyped,NA,detections,total,13
non-sentinel,Austria,2024-W49,Influenza,Influenza A,A (unknown),detections,total,7
non-sentinel,Austria,2024-W49,Influenza,Influenza B,B (unknown),detections,total,3
non-sentinel,Austria,2024-W49,RSV,RSV untyped,NA,detections,total,14
non-sentinel,Austria,2024-W48,Influenza,Influenza A,A (unknown),detections,total,5
non-sentinel,Austria,2024-W48,RSV,RSV untyped,NA,detections,total,4
non-sentinel,Austria,2024-W47,Influenza,Influenza A,A (unknown),detections,total,4
non-sentinel,Austria,2024-W47,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2024-W46,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W46,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2024-W45,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2024-W44,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W41,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W40,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W40,Influenza,Influenza A,A(H3),detections,total,2
non-sentinel,Austria,2024-W39,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W39,Influenza,Influenza A,A(H3),detections,total,1
non-sentinel,Austria,2024-W38,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2024-W35,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W35,Influenza,Influenza A,A(H3),detections,total,1
non-sentinel,Austria,2024-W26,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W24,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2024-W22,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W20,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2024-W20,Influenza,Influenza B,B (unknown),detections,total,1
non-sentinel,Austria,2024-W19,Influenza,Influenza B,B (unknown),detections,total,2
non-sentinel,Austria,2024-W19,RSV,RSV untyped,NA,detections,total,2
non-sentinel,Austria,2024-W17,Influenza,Influenza B,B (unknown),detections,total,3
non-sentinel,Austria,2024-W17,RSV,RSV untyped,NA,detections,total,5
non-sentinel,Austria,2024-W16,RSV,RSV untyped,NA,detections,total,5
non-sentinel,Austria,2024-W15,Influenza,Influenza B,B (unknown),detections,total,3
non-sentinel,Austria,2024-W15,RSV,RSV untyped,NA,detections,total,12
non-sentinel,Austria,2024-W14,Influenza,Influenza A,A (unknown),detections,total,4
non-sentinel,Austria,2024-W14,Influenza,Influenza B,B (unknown),detections,total,9
non-sentinel,Austria,2024-W14,RSV,RSV untyped,NA,detections,total,11
non-sentinel,Austria,2024-W13,Influenza,Influenza A,A (unknown),detections,total,5
non-sentinel,Austria,2024-W13,Influenza,Influenza B,B (unknown),detections,total,7
non-sentinel,Austria,2024-W13,Influenza,Influenza B,B/Vic,detections,total,1
non-sentinel,Austria,2024-W13,RSV,RSV untyped,NA,detections,total,5
non-sentinel,Austria,2024-W12,Influenza,Influenza A,A (unknown),detections,total,10
non-sentinel,Austria,2024-W12,Influenza,Influenza A,A(H3),detections,total,1
non-sentinel,Austria,2024-W12,Influenza,Influenza B,B (unknown),detections,total,10
non-sentinel,Austria,2024-W12,RSV,RSV untyped,NA,detections,total,18
non-sentinel,Austria,2024-W11,Influenza,Influenza A,A (unknown),detections,total,13
non-sentinel,Austria,2024-W11,Influenza,Influenza A,A(H1)pdm09,detections,total,2
non-sentinel,Austria,2024-W11,Influenza,Influenza B,B (unknown),detections,total,7
non-sentinel,Austria,2024-W11,RSV,RSV untyped,NA,detections,total,41
non-sentinel,Austria,2024-W10,Influenza,Influenza A,A (unknown),detections,total,24
non-sentinel,Austria,2024-W10,Influenza,Influenza B,B (unknown),detections,total,16
non-sentinel,Austria,2024-W10,RSV,RSV untyped,NA,detections,total,53
non-sentinel,Austria,2024-W09,Influenza,Influenza A,A (unknown),detections,total,49
non-sentinel,Austria,2024-W09,Influenza,Influenza A,A(H1)pdm09,detections,total,2
non-sentinel,Austria,2024-W09,Influenza,Influenza B,B (unknown),detections,total,7
non-sentinel,Austria,2024-W09,RSV,RSV untyped,NA,detections,total,71
non-sentinel,Austria,2024-W08,Influenza,Influenza A,A (unknown),detections,total,111
non-sentinel,Austria,2024-W08,Influenza,Influenza A,A(H1)pdm09,detections,total,1
non-sentinel,Austria,2024-W08,Influenza,Influenza B,B (unknown),detections,total,11
non-sentinel,Austria,2024-W08,RSV,RSV untyped,NA,detections,total,101
non-sentinel,Austria,2024-W07,Influenza,Influenza A,A (unknown),detections,total,173
non-sentinel,Austria,2024-W07,Influenza,Influenza A,A(H1)pdm09,detections,total,5
non-sentinel,Austria,2024-W07,Influenza,Influenza B,B (unknown),detections,total,7
non-sentinel,Austria,2024-W07,RSV,RSV untyped,NA,detections,total,167
non-sentinel,Austria,2024-W06,Influenza,Influenza A,A (unknown),detections,total,325
non-sentinel,Austria,2024-W06,Influenza,Influenza A,A(H1)pdm09,detections,total,6
non-sentinel,Austria,2024-W06,Influenza,Influenza B,B (unknown),detections,total,10
non-sentinel,Austria,2024-W06,RSV,RSV untyped,NA,detections,total,190
non-sentinel,Austria,2024-W05,Influenza,Influenza A,A (unknown),detections,total,531
non-sentinel,Austria,2024-W05,Influenza,Influenza A,A(H3),detections,total,3
non-sentinel,Austria,2024-W05,Influenza,Influenza B,B (unknown),detections,total,4
non-sentinel,Austria,2024-W05,RSV,RSV untyped,NA,detections,total,216
non-sentinel,Austria,2024-W04,Influenza,Influenza A,A (unknown),detections,total,452
non-sentinel,Austria,2024-W04,Influenza,Influenza B,B (unknown),detections,total,2
non-sentinel,Austria,2024-W04,RSV,RSV untyped,NA,detections,total,198
non-sentinel,Austria,2024-W03,Influenza,Influenza A,A (unknown),detections,total,326
non-sentinel,Austria,2024-W03,Influenza,Influenza B,B (unknown),detections,total,7
non-sentinel,Austria,2024-W03,RSV,RSV untyped,NA,detections,total,94
non-sentinel,Austria,2024-W02,Influenza,Influenza A,A (unknown),detections,total,213
non-sentinel,Austria,2024-W02,Influenza,Influenza A,A(H1)pdm09,detections,total,1
non-sentinel,Austria,2024-W02,Influenza,Influenza A,A(H3),detections,total,1
non-sentinel,Austria,2024-W02,RSV,RSV untyped,NA,detections,total,74
non-sentinel,Austria,2024-W01,Influenza,Influenza A,A (unknown),detections,total,133
non-sentinel,Austria,2024-W01,RSV,RSV untyped,NA,detections,total,53
non-sentinel,Austria,2023-W52,Influenza,Influenza A,A (unknown),detections,total,45
non-sentinel,Austria,2023-W52,Influenza,Influenza A,A(H1)pdm09,detections,total,5
non-sentinel,Austria,2023-W52,Influenza,Influenza B,B/Vic,detections,total,1
non-sentinel,Austria,2023-W52,RSV,RSV untyped,NA,detections,total,46
non-sentinel,Austria,2023-W51,Influenza,Influenza A,A (unknown),detections,total,122
non-sentinel,Austria,2023-W51,Influenza,Influenza A,A(H1)pdm09,detections,total,9
non-sentinel,Austria,2023-W51,Influenza,Influenza B,B (unknown),detections,total,1
non-sentinel,Austria,2023-W51,Influenza,Influenza B,B/Vic,detections,total,1
non-sentinel,Austria,2023-W51,RSV,RSV untyped,NA,detections,total,50
non-sentinel,Austria,2023-W50,Influenza,Influenza A,A (unknown),detections,total,53
non-sentinel,Austria,2023-W50,Influenza,Influenza A,A(H1)pdm09,detections,total,4
non-sentinel,Austria,2023-W50,Influenza,Influenza B,B (unknown),detections,total,1
non-sentinel,Austria,2023-W50,RSV,RSV untyped,NA,detections,total,30
non-sentinel,Austria,2023-W49,Influenza,Influenza A,A (unknown),detections,total,18
non-sentinel,Austria,2023-W49,Influenza,Influenza A,A(H1)pdm09,detections,total,2
non-sentinel,Austria,2023-W49,Influenza,Influenza A,A(H3),detections,total,1
non-sentinel,Austria,2023-W49,RSV,RSV untyped,NA,detections,total,18
non-sentinel,Austria,2023-W48,Influenza,Influenza A,A (unknown),detections,total,12
non-sentinel,Austria,2023-W48,Influenza,Influenza A,A(H1)pdm09,detections,total,2
non-sentinel,Austria,2023-W48,Influenza,Influenza A,A(H3),detections,total,1
non-sentinel,Austria,2023-W48,Influenza,Influenza B,B/Vic,detections,total,1
non-sentinel,Austria,2023-W48,RSV,RSV untyped,NA,detections,total,14
non-sentinel,Austria,2023-W47,Influenza,Influenza A,A (unknown),detections,total,5
non-sentinel,Austria,2023-W47,Influenza,Influenza A,A(H1)pdm09,detections,total,2
non-sentinel,Austria,2023-W47,RSV,RSV untyped,NA,detections,total,11
non-sentinel,Austria,2023-W46,Influenza,Influenza A,A (unknown),detections,total,2
non-sentinel,Austria,2023-W46,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2023-W45,RSV,RSV untyped,NA,detections,total,2
non-sentinel,Austria,2023-W44,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2023-W43,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2023-W43,RSV,RSV untyped,NA,detections,total,1
non-sentinel,Austria,2023-W42,RSV,RSV untyped,NA,detections,total,2
non-sentinel,Austria,2023-W41,RSV,RSV untyped,NA,detections,total,3
non-sentinel,Austria,2023-W14,Influenza,Influenza A,A (unknown),detections,total,2
non-sentinel,Austria,2023-W14,Influenza,Influenza B,B (unknown),detections,total,19
non-sentinel,Austria,2023-W14,Influenza,Influenza B,B/Vic,detections,total,3
non-sentinel,Austria,2023-W13,Influenza,Influenza A,A (unknown),detections,total,3
non-sentinel,Austria,2023-W13,Influenza,Influenza B,B (unknown),detections,total,52
