survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
SARI virological,Belgium,2025-W01,Influenza,Influenza,total,detections,total,65
SARI virological,Belgium,2025-W01,Influenza,Influenza,total,positivity,total,43.9
SARI virological,Belgium,2025-W01,Influenza,Influenza,total,tests,total,148
SARI virological,Belgium,2025-W01,Influenza,Influenza A,A (unknown),detections,total,36
SARI virological,Belgium,2025-W01,Influenza,Influenza A,A(H1)pdm09,detections,total,16
SARI virological,Belgium,2025-W01,Influenza,Influenza A,A(H3),detections,total,11
SARI virological,Belgium,2025-W01,Influenza,Influenza B,B (unknown),detections,total,1
SARI virological,Belgium,2025-W01,Influenza,Influenza B,B/Vic,detections,total,1
SARI virological,Belgium,2025-W01,RSV,RSV,RSV,detections,total,5
SARI virological,Belgium,2025-W01,RSV,RSV,RSV,positivity,total,11.1
SARI virological,Belgium,2025-W01,RSV,RSV,RSV,tests,total,45
SARI virological,Belgium,2025-W01,RSV,RSV-A,NA,detections,total,4
SARI virological,Belgium,2025-W01,RSV,RSV-B,NA,detections,total,1
SARI virological,Belgium,2025-W01,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,2
SARI virological,Belgium,2025-W01,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,1.4
SARI virological,Belgium,2025-W01,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,147
SARI virological,Belgium,2024-W52,Influenza,Influenza,total,detections,total,66
SARI virological,Belgium,2024-W52,Influenza,Influenza,total,positivity,total,40.5
SARI virological,Belgium,2024-W52,Influenza,Influenza,total,tests,total,163
SARI virological,Belgium,2024-W52,Influenza,Influenza A,A (unknown),detections,total,13
SARI virological,Belgium,2024-W52,Influenza,Influenza A,A(H1)pdm09,detections,total,23
SARI virological,Belgium,2024-W52,Influenza,Influenza A,A(H3),detections,total,26
SARI virological,Belgium,2024-W52,Influenza,Influenza B,B (unknown),detections,total,1
SARI virological,Belgium,2024-W52,Influenza,Influenza B,B/Vic,detections,total,3
SARI virological,Belgium,2024-W52,RSV,RSV,RSV,detections,total,36
SARI virological,Belgium,2024-W52,RSV,RSV,RSV,positivity,total,31.6
SARI virological,Belgium,2024-W52,RSV,RSV,RSV,tests,total,114
SARI virological,Belgium,2024-W52,RSV,RSV-A,NA,detections,total,14
SARI virological,Belgium,2024-W52,RSV,RSV-B,NA,detections,total,22
SARI virological,Belgium,2024-W52,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,2
SARI virological,Belgium,2024-W52,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,1.2
SARI virological,Belgium,2024-W52,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,162
SARI virological,Belgium,2024-W51,Influenza,Influenza,total,detections,total,72
SARI virological,Belgium,2024-W51,Influenza,Influenza,total,positivity,total,34.6
SARI virological,Belgium,2024-W51,Influenza,Influenza,total,tests,total,208
SARI virological,Belgium,2024-W51,Influenza,Influenza A,A (unknown),detections,total,2
SARI virological,Belgium,2024-W51,Influenza,Influenza A,A(H1)pdm09,detections,total,39
SARI virological,Belgium,2024-W51,Influenza,Influenza A,A(H3),detections,total,30
SARI virological,Belgium,2024-W51,Influenza,Influenza B,B/Vic,detections,total,1
SARI virological,Belgium,2024-W51,RSV,RSV,RSV,detections,total,64
SARI virological,Belgium,2024-W51,RSV,RSV,RSV,positivity,total,34.2
SARI virological,Belgium,2024-W51,RSV,RSV,RSV,tests,total,187
SARI virological,Belgium,2024-W51,RSV,RSV-A,NA,detections,total,26
SARI virological,Belgium,2024-W51,RSV,RSV-B,NA,detections,total,38
SARI virological,Belgium,2024-W51,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,8
SARI virological,Belgium,2024-W51,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,3.9
SARI virological,Belgium,2024-W51,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,207
SARI virological,Belgium,2024-W50,Influenza,Influenza,total,detections,total,36
SARI virological,Belgium,2024-W50,Influenza,Influenza,total,positivity,total,17.5
SARI virological,Belgium,2024-W50,Influenza,Influenza,total,tests,total,206
SARI virological,Belgium,2024-W50,Influenza,Influenza A,A (unknown),detections,total,1
SARI virological,Belgium,2024-W50,Influenza,Influenza A,A(H1)pdm09,detections,total,23
SARI virological,Belgium,2024-W50,Influenza,Influenza A,A(H3),detections,total,12
SARI virological,Belgium,2024-W50,RSV,RSV,RSV,detections,total,84
SARI virological,Belgium,2024-W50,RSV,RSV,RSV,positivity,total,41.2
SARI virological,Belgium,2024-W50,RSV,RSV,RSV,tests,total,204
SARI virological,Belgium,2024-W50,RSV,RSV-A,NA,detections,total,31
SARI virological,Belgium,2024-W50,RSV,RSV-B,NA,detections,total,53
SARI virological,Belgium,2024-W50,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,5
SARI virological,Belgium,2024-W50,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,2.5
SARI virological,Belgium,2024-W50,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,204
SARI virological,Belgium,2024-W49,Influenza,Influenza,total,detections,total,19
SARI virological,Belgium,2024-W49,Influenza,Influenza,total,positivity,total,10.6
SARI virological,Belgium,2024-W49,Influenza,Influenza,total,tests,total,180
SARI virological,Belgium,2024-W49,Influenza,Influenza A,A (unknown),detections,total,2
SARI virological,Belgium,2024-W49,Influenza,Influenza A,A(H1)pdm09,detections,total,11
SARI virological,Belgium,2024-W49,Influenza,Influenza A,A(H3),detections,total,6
SARI virological,Belgium,2024-W49,RSV,RSV,RSV,detections,total,84
SARI virological,Belgium,2024-W49,RSV,RSV,RSV,positivity,total,46.9
SARI virological,Belgium,2024-W49,RSV,RSV,RSV,tests,total,179
SARI virological,Belgium,2024-W49,RSV,RSV-A,NA,detections,total,37
SARI virological,Belgium,2024-W49,RSV,RSV-B,NA,detections,total,47
SARI virological,Belgium,2024-W49,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,7
SARI virological,Belgium,2024-W49,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,3.9
SARI virological,Belgium,2024-W49,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,179
SARI virological,Belgium,2024-W48,Influenza,Influenza,total,detections,total,17
SARI virological,Belgium,2024-W48,Influenza,Influenza,total,positivity,total,10.2
SARI virological,Belgium,2024-W48,Influenza,Influenza,total,tests,total,166
SARI virological,Belgium,2024-W48,Influenza,Influenza A,A (unknown),detections,total,2
SARI virological,Belgium,2024-W48,Influenza,Influenza A,A(H1)pdm09,detections,total,11
SARI virological,Belgium,2024-W48,Influenza,Influenza A,A(H3),detections,total,4
SARI virological,Belgium,2024-W48,RSV,RSV,RSV,detections,total,83
SARI virological,Belgium,2024-W48,RSV,RSV,RSV,positivity,total,50
SARI virological,Belgium,2024-W48,RSV,RSV,RSV,tests,total,166
SARI virological,Belgium,2024-W48,RSV,RSV-A,NA,detections,total,37
SARI virological,Belgium,2024-W48,RSV,RSV-B,NA,detections,total,46
SARI virological,Belgium,2024-W48,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,15
SARI virological,Belgium,2024-W48,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,9
SARI virological,Belgium,2024-W48,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,166
SARI virological,Belgium,2024-W47,Influenza,Influenza,total,detections,total,4
SARI virological,Belgium,2024-W47,Influenza,Influenza,total,positivity,total,2.5
SARI virological,Belgium,2024-W47,Influenza,Influenza,total,tests,total,158
SARI virological,Belgium,2024-W47,Influenza,Influenza A,A(H1)pdm09,detections,total,3
SARI virological,Belgium,2024-W47,Influenza,Influenza A,A(H3),detections,total,1
SARI virological,Belgium,2024-W47,RSV,RSV,RSV,detections,total,68
SARI virological,Belgium,2024-W47,RSV,RSV,RSV,positivity,total,43
SARI virological,Belgium,2024-W47,RSV,RSV,RSV,tests,total,158
SARI virological,Belgium,2024-W47,RSV,RSV-A,NA,detections,total,30
SARI virological,Belgium,2024-W47,RSV,RSV-B,NA,detections,total,38
SARI virological,Belgium,2024-W47,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,6
SARI virological,Belgium,2024-W47,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,3.8
SARI virological,Belgium,2024-W47,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,158
SARI virological,Belgium,2024-W46,Influenza,Influenza,total,detections,total,4
SARI virological,Belgium,2024-W46,Influenza,Influenza,total,positivity,total,3.3
SARI virological,Belgium,2024-W46,Influenza,Influenza,total,tests,total,123
SARI virological,Belgium,2024-W46,Influenza,Influenza A,A(H1)pdm09,detections,total,3
SARI virological,Belgium,2024-W46,Influenza,Influenza A,A(H3),detections,total,1
SARI virological,Belgium,2024-W46,RSV,RSV,RSV,detections,total,53
SARI virological,Belgium,2024-W46,RSV,RSV,RSV,positivity,total,43.4
SARI virological,Belgium,2024-W46,RSV,RSV,RSV,tests,total,122
SARI virological,Belgium,2024-W46,RSV,RSV-A,NA,detections,total,27
SARI virological,Belgium,2024-W46,RSV,RSV-B,NA,detections,total,26
SARI virological,Belgium,2024-W46,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,6
SARI virological,Belgium,2024-W46,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,4.9
SARI virological,Belgium,2024-W46,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,122
SARI virological,Belgium,2024-W45,Influenza,Influenza,total,detections,total,3
SARI virological,Belgium,2024-W45,Influenza,Influenza,total,positivity,total,3.4
SARI virological,Belgium,2024-W45,Influenza,Influenza,total,tests,total,87
SARI virological,Belgium,2024-W45,Influenza,Influenza A,A(H1)pdm09,detections,total,2
SARI virological,Belgium,2024-W45,Influenza,Influenza B,B/Vic,detections,total,1
SARI virological,Belgium,2024-W45,RSV,RSV,RSV,detections,total,23
SARI virological,Belgium,2024-W45,RSV,RSV,RSV,positivity,total,26.4
SARI virological,Belgium,2024-W45,RSV,RSV,RSV,tests,total,87
SARI virological,Belgium,2024-W45,RSV,RSV-A,NA,detections,total,15
SARI virological,Belgium,2024-W45,RSV,RSV-B,NA,detections,total,8
SARI virological,Belgium,2024-W45,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,4
SARI virological,Belgium,2024-W45,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,4.7
